,state,year,c_ce_i,c_ce_i_r,total_current_assets,current_liabilities,noncurrent_liabilities,unrestricted_net_assets,restricted_net_assets,total_net_assets,total_assets,total_liabilities,total_taxes,total_revenue,total_expenses,noncurrent_liability,change_in_net_assets,population,uaal_pension_(risk-free),uaal_opeb,primary_gov_debt,personal_income,1.cash_ratio,2.quick_ratio,3.current_ratio,4.op_ratio,5._surplus_percap,6.net_asst_ratio,7.long_term_liab,8.lt_percapita,9.tax_income_ratio,10.rev_income_ratio,11.exp_income_ratio,12._pension_income_ratio,13._opeb_income_ratio,cashrank,lrrank,budgetrank,servicelvlrank,trustrank,overallrank,%_working_pop_age_(15-64),est_working_pop,person_income_per_capita
74,Mississippi,2007,4836929,5663919,6391896,2415465,4612367,886464,1501350,13854939,20882771,7027832,7137020833.0,19157623843.0,17550329861.0,4612366898.0,4568675926,2928350,23860934393.0,0.0,"4,568,675,926",99092121528.0,2.0,2.34,2.65,1.09,"1,560.15",0.11,0.22,1575.07,0.07,0.19,0.18,0.24,0.0,18,33,7,44,42,34,0.673,1970779.55,50280.672705376914
75,Missouri,2007,4885995,8166863,8309419,2300521,5812029,-2037948,5832865,33410888,41523438,8112550,11594637731.0,24894255787.0,24226488426.0,5812028935.0,667767361,5887612,40159159041.0,0.0,"4,140,160,880",242330221065.0,2.12,3.55,3.61,1.03,113.42,0.09,0.14,987.16,0.05,0.1,0.1,0.17,0.0,10,20,37,7,29,13,0.673,3962362.876,61158.008150336806
76,Montana,2007,3845808,4601494,4972862,934656,493236,795733,3081154,7492579,8920471,1427892,2344394676.0,5455991898.0,4617981481.0,493236111.0,838010417,964706,6629140122.0,731386574.0,"457,192,130",37743349537.0,4.11,4.92,5.32,1.18,868.67,0.43,0.06,511.28,0.06,0.14,0.12,0.18,0.02,3,5,5,30,36,6,0.673,649247.138,58134.025285453004
77,Nebraska,2007,3798869,4931525,5548652,1766949,280118,1155020,2412321,12172076,14219144,2047067,4480324074.0,8269675926.0,7495370370.0,280118056.0,796296296,1783440,5255529960.0,0.0,"59,163,194",78607841435.0,2.15,2.79,3.14,1.1,446.49,0.25,0.02,157.07,0.06,0.11,0.1,0.07,0.0,14,1,11,10,3,2,0.673,1200255.12,65492.61080011056
78,Nevada,2007,5393877,7866404,9510506,4035100,4256318,732903,2207306,6978331,15269749,8291418,4767521991.0,8554888889.0,8278923611.0,4256318287.0,290094907,2601072,22705487213.0,2559535880.0,"4,205,935,185",120832320602.0,1.34,1.95,2.36,1.03,111.53,0.19,0.28,1636.37,0.04,0.07,0.07,0.19,0.02,29,28,33,1,38,12,0.673,1750521.456,69026.47219080987
79,New Hampshire,2007,937471,1647477,1741588,699759,1136178,578169,767291,3482052,5317990,1835938,2388113426.0,6072370370.0,5794928241.0,1136178241.0,277442130,1312540,7736254218.0,2962357639.0,"1,146,733,796",68664047454.0,1.34,2.35,2.49,1.05,211.38,0.25,0.21,865.63,0.03,0.09,0.08,0.11,0.04,23,14,29,2,20,10,0.673,883339.42,77732.34829030951
80,New Jersey,2007,10892885,18644697,19069883,6854462,42640584,-24189843,8032028,-8811114,40683932,49495046,34703009259.0,56690509259.0,57186689815.0,42640583763.0,-496180556,8677885,106000000000.0,69150578704.0,"36,736,532,407",507915245370.0,1.59,2.72,2.78,0.99,-57.18,-0.4,1.05,4913.71,0.07,0.11,0.11,0.21,0.14,19,49,47,21,41,38,0.673,5840216.605,86968.56293568926
81,New Mexico,2007,5653463,7175189,9403303,5744267,4092953,1008883,11637580,20120447,29957667,9837220,6216681713.0,17262555556.0,16378054398.0,4092952546.0,884501157,1990070,19332300218.0,4756530093.0,"10,925,718,750",73022839120.0,0.98,1.25,1.64,1.05,444.46,0.42,0.14,2056.69,0.09,0.24,0.22,0.26,0.07,40,12,20,49,47,50,0.673,1339317.11,54522.44175391741
82,New York,2007,22597222,45163194,46863426,27059028,62269676,-24375000,8424769,56627315,145956019,89328704,68119212963.0,146000000000.0,144000000000.0,62269675926.0,-239583333,19132335,106000000000.0,58873871528.0,"56,436,342,593",1051114523148.0,0.84,1.67,1.73,1.01,-12.52,-0.11,0.43,3254.68,0.06,0.14,0.14,0.1,0.06,39,45,42,33,15,42,0.673,12876061.455,81633.2328656162
83,North Carolina,2007,7622773,13077688,21122503,13749648,8235171,-982895,3112747,36523225,58508044,21984819,25072898148.0,45585974537.0,42657113426.0,8235171296.0,2933407407,9118037,24516450971.0,33265694444.0,"8,030,128,472",380056752315.0,0.55,0.95,1.54,1.07,321.71,0.04,0.14,903.17,0.07,0.12,0.11,0.06,0.09,49,24,17,23,4,27,0.673,6136438.901000001,61934.4148041734
84,North Dakota,2007,3811141,6967292,7047655,1926605,2751269,1899236,2155592,5998253,10676128,4677875,1690827546.0,4886153935.0,4203723380.0,2751269468.0,722614583,652822,2725853873.0,89236111.0,"1,966,701,389",27446682870.0,1.98,3.62,3.66,1.16,"1,106.91",0.38,0.26,4214.43,0.06,0.18,0.15,0.1,0.0,11,19,4,39,12,20,0.673,439349.206,62471.22447286271
85,Ohio,2007,29256047,39823551,45562208,15621288,34207238,-2178519,3521438,26223362,76051889,49828527,27195436343.0,61548096065.0,57855886574.0,34207238426.0,3692209491,11500468,126000000000.0,39094545139.0,"13,446,715,278",472368817130.0,1.87,2.55,2.92,1.06,321.05,0.02,0.45,2974.42,0.06,0.13,0.12,0.27,0.08,16,42,21,24,49,31,0.673,7739814.964000001,61031.02197237489
86,Oklahoma,2007,5979262,7089823,10563243,5530772,2536623,3883595,3912535,15474493,23541888,8067395,9230008102.0,17465756944.0,16242968750.0,2536622685.0,1222788194,3634349,28557699960.0,0.0,"2,520,194,444",147782538194.0,1.08,1.28,1.91,1.08,336.45,0.33,0.11,697.96,0.06,0.12,0.11,0.19,0.0,38,9,14,20,34,25,0.673,2445916.8770000003,60420.098321272584
87,Oregon,2007,9134770,10657770,14143704,6940587,12099797,1989067,4741912,17672654,36713038,19040384,7817708333.0,20311805556.0,20051041667.0,12099797454.0,273263889,3722417,21748618424.0,680208333.0,"11,202,848,380",154487108796.0,1.32,1.54,2.04,1.01,73.41,0.18,0.33,3250.52,0.05,0.13,0.13,0.14,0.0,34,35,41,22,27,32,0.673,2505186.6410000003,61666.90587745314
88,Pennsylvania,2007,17896659,22413610,24723516,12457596,14201189,397178,8761611,32389909,59048693,26658785,33159129630.0,67708333333.0,65149413194.0,14201188657.0,2357500000,12563937,78832870917.0,0.0,"9,699,302,083",586062055556.0,1.44,1.8,1.98,1.04,187.64,0.16,0.24,1130.31,0.06,0.12,0.11,0.13,0.0,32,25,30,16,25,26,0.673,8455529.601,69311.09974314192
89,Rhode Island,2007,1256912,1763507,2133510,951822,3170593,-1272315,773360,1332478,5454892,4122414,3290310185.0,8414439815.0,8461640046.0,3170592593.0,-47200231,1057315,13374120633.0,915699685.0,"3,178,601,852",50065685185.0,1.32,1.85,2.24,0.99,-44.64,-0.09,0.58,2998.72,0.07,0.17,0.17,0.27,0.02,31,44,45,41,48,49,0.673,711572.995,70359.16980660571
90,South Carolina,2007,7273786,9281047,12486895,5799022,10407119,1386037,5676668,20766313,36972454,16206141,10348453704.0,25387788194.0,23805945602.0,10407119213.0,1581842593,4444110,33746052203.0,9964260417.0,"9,937,555,556",164369425926.0,1.25,1.6,2.15,1.07,355.94,0.19,0.28,2341.78,0.06,0.15,0.14,0.21,0.06,33,32,16,36,40,37,0.673,2990886.0300000003,54956.76674981828
91,South Dakota,2007,1867560,2620199,2859610,614104,583262,190519,1592869,5198676,6396042,1197366,1320604167.0,3592193287.0,3366828704.0,583261574.0,225364583,791623,2818650257.0,0.0,"561,076,389",35484376157.0,3.04,4.27,4.66,1.07,284.69,0.28,0.09,736.79,0.04,0.1,0.09,0.08,0.0,6,10,22,3,6,3,0.673,532762.279,66604.52054451851
92,Tennessee,2007,6106334,9639782,9786174,2355373,1741288,3674994,2621603,30637466,34734127,4096661,13085340278.0,26792820602.0,24822100694.0,1741288194.0,1971032407,6175727,16291230890.0,2776241898.0,"1,445,423,611",243860618056.0,2.59,4.09,4.15,1.08,319.16,0.18,0.05,281.96,0.05,0.11,0.1,0.07,0.01,8,4,13,12,5,4,0.673,4156264.271,58673.0299508426
93,Texas,2007,25752072,37570579,52968840,31422534,33332396,25817675,63844537,163482306,228237235,64754929,42906931713.0,120000000000.0,105000000000.0,33332395833.0,15495701389,23831983,117000000000.0,30348788194.0,"30,222,222,222",1010375368056.0,0.82,1.2,1.69,1.15,650.21,0.39,0.15,1398.64,0.04,0.12,0.1,0.12,0.03,43,11,9,8,21,19,0.673,16038924.559,62995.20671347276
94,Utah,2007,4996028,10233104,10411051,1406418,4327466,2471045,5067519,18509252,24243137,5733884,6841013889.0,12097290509.0,9815010417.0,4327466435.0,2282280093,2597746,11001874951.0,776651620.0,"4,287,037,037",99114259259.0,3.55,7.28,7.4,1.23,878.56,0.31,0.18,1665.85,0.07,0.12,0.1,0.11,0.01,2,16,3,19,18,5,0.673,1748283.0580000002,56692.34098303548
95,Vermont,2007,674209,1129183,1144073,445382,778440,-27398,391421,1708482,2932303,1223821,2875925926.0,4984259259.0,4867939815.0,778439748.0,116319444,623481,2386907639.0,699407407.0,"529,924,769",28046496528.0,1.51,2.54,2.57,1.02,186.56,0.12,0.27,1248.54,0.1,0.18,0.17,0.09,0.02,22,30,36,47,9,35,0.673,419602.71300000005,66840.59864026665
96,Virginia,2007,13382036,16334108,16638315,8130366,8265380,1338878,3200340,20585596,36981341,16395745,20215697917.0,34741150463.0,34005934028.0,8265379630.0,758364583,7751000,39457341829.0,4001157407.0,"9,054,723,380",399693913194.0,1.65,2.01,2.05,1.02,97.84,0.12,0.22,1066.36,0.05,0.09,0.09,0.1,0.01,26,26,40,4,13,14,0.673,5216423.0,76622.22047445155
97,Washington,2007,15526716,21289248,44433005,10832300,39290714,-3456513,10373722,26347122,76470135,50123014,19458333333.0,42954861111.0,40501157407.0,39290714120.0,2565972222,6461587,28971691311.0,0.0,"16,018,518,519",323019491898.0,1.43,1.97,4.1,1.06,397.11,0.09,0.51,6080.66,0.06,0.13,0.13,0.09,0.0,17,41,19,27,10,23,0.673,4348648.051,74280.44029079787
98,West Virginia,2007,5130465,6438884,6909523,1820414,7519325,-992674,2185742,9223841,18563581,9339740,5082021991.0,13004312500.0,11312065972.0,7519325231.0,1692246528,1834052,9649942916.0,3561071759.0,"3,276,909,722",62244311343.0,2.82,3.54,3.8,1.15,922.68,0.06,0.41,4099.84,0.08,0.21,0.18,0.16,0.06,9,40,6,46,30,29,0.673,1234316.996,50428.140862284614
99,Wisconsin,2007,5805363,12180120,12936309,8553918,13411811,-8925652,5595359,14610405,36576134,21965729,15903472222.0,32384722222.0,31721990741.0,13411811343.0,687037037,5610775,41133980941.0,1704599537.0,"12,505,409,722",243994181713.0,0.68,1.42,1.51,1.02,122.45,-0.09,0.37,2390.37,0.07,0.13,0.13,0.17,0.01,45,43,39,31,33,47,0.673,3776051.575,64616.22063861773
100,Wyoming,2007,5651676,6639701,7323555,6633946,1004903,3839386,7451374,11731822,19370671,7638849,3032085846.0,6113633023.0,4105375563.0,1004902678.0,2008257461,534876,4245929236.0,0.0,"64,136,936",27684011574.0,0.85,1.0,1.1,1.49,"3,754.62",0.58,0.05,1878.76,0.11,0.22,0.15,0.15,0.0,48,6,2,48,28,22,0.673,359971.548,76906.11029625041
101,Average,2007,10157171,13794883,16346175,7128897,13933224,-2186537,6566873,21235844,42297965,21062121,16580872504.0,34060385809.0,32535977257.0,13933223959.0,1556271006,6013136,37249576366.0,11607088805.0,11126457808,277000000000.0,1.75,2.43,2.76,1.09,640.67,0.14,0.29,2149.13,0.06,0.14,0.13,0.15,0.04,26,26,26,26,26,26,0.673,4046840.5280000004,68448.45950401136
102,Alabama,2008,7306456,8296241,9532711,2451679,2386565,135231,5690503,26260615,31098860,4838244,8627948718.0,20639774805.0,21567457079.0,2386565217.0,-927584169,4718206,41186806401.0,17386615320.0,"1,912,759,197",175838988852.0,2.98,3.38,3.89,0.96,-196.6,0.19,0.08,505.82,0.05,0.12,0.12,0.23,0.1,6,8,44,17,40,15,0.672,3170634.432,55458.613291183734
103,Alaska,2008,57479567,60628429,63689669,5210687,2018144,21972129,35797679,64170807,72291499,7228831,9231884058.0,15169453735.0,9122630992.0,2018143813.0,6046822742,687455,16081606560.0,14055783328.0,"1,856,256,410",36626531773.0,11.03,11.64,12.22,1.66,"8,795.95",0.8,0.03,2935.67,0.25,0.41,0.25,0.44,0.38,1,2,1,50,50,1,0.672,461969.76,79283.39675956279
104,Arizona,2008,4279516,5570050,6552780,3742922,8156615,-1022176,7322828,24047054,35946591,11899537,14893216276.0,30911594203.0,31285622074.0,8156615385.0,-374806020,6280362,42520505692.0,591456556.0,"7,484,926,421",250075680045.0,1.14,1.49,1.75,0.99,-59.68,0.18,0.23,1298.75,0.06,0.12,0.13,0.17,0.0,36,21,34,24,3,21,0.672,4220403.264,59253.977499767185
105,Arkansas,2008,4895882,6236127,6463363,1706492,4588151,3138875,2027182,15992181,22286823,6294642,7532570792.0,16504968785.0,16799794872.0,4588150502.0,418697882,2874554,19622093351.0,1722002230.0,"2,903,128,205",102999644370.0,2.87,3.65,3.79,0.98,145.66,0.23,0.21,1596.13,0.07,0.16,0.16,0.19,0.02,5,20,28,42,29,22,0.672,1931700.2880000002,53320.71699209686
106,California,2008,32192022,46283998,61437145,45371039,119416832,-73955020,18954592,38984586,203772457,164787871,122000000000.0,220000000000.0,233000000000.0,119000000000.0,-13236343367,36604337,259000000000.0,60187959866.0,"106,272,471,572",1802152103679.0,0.71,1.02,1.35,0.94,-361.61,-0.27,0.59,3262.37,0.07,0.12,0.13,0.14,0.03,48,47,45,27,17,44,0.672,24598114.464,73263.83110853874
107,Colorado,2008,5815932,7439839,7264259,3696761,6485489,3369690,4653301,23363746,33545997,10182251,10258935340.0,22721674470.0,21877802676.0,6485489409.0,836243032,4889730,69636653342.0,1564157282.0,"6,180,965,440",232561996656.0,1.57,2.01,1.97,1.04,171.02,0.24,0.19,1326.35,0.04,0.1,0.09,0.3,0.01,27,18,12,6,33,18,0.672,3285898.56,70775.76876140693
108,Connecticut,2008,4050710,7090968,7248794,4257123,23137725,-14617923,3789546,-2456465,24938382,27394847,14382385730.0,25888517280.0,28074693423.0,23137724638.0,-2186074693,3545579,54957210038.0,32202608696.0,"19,278,800,446",242030929766.0,0.95,1.67,1.7,0.92,-616.56,-0.43,0.93,6525.8,0.06,0.11,0.12,0.23,0.13,37,48,49,19,39,45,0.672,2382629.088,101581.45511820428
109,Delaware,2008,1351011,1719701,1909428,1122311,3228689,1079157,552027,6366048,10717048,4351000,3753335563.0,7153585284.0,7294921962.0,3228688963.0,-141336678,883874,5163995735.0,6031215162.0,"2,650,160,535",41219702341.0,1.2,1.53,1.7,0.98,-159.91,0.15,0.3,3652.88,0.09,0.17,0.18,0.13,0.15,35,34,38,46,15,41,0.672,593963.328,69397.72271765574
110,Florida ,2008,47076347,52337799,52516317,22561450,41287808,-12680906,15837592,65919603,129768862,63849259,35374581940.0,75207357860.0,76613154961.0,41287808250.0,-1534095875,18527305,77152365622.0,8565186176.0,"32,818,283,166",819053794872.0,2.09,2.32,2.33,0.98,-82.8,0.02,0.32,2228.48,0.04,0.09,0.09,0.09,0.01,17,38,36,5,5,10,0.672,12450348.96,65785.60950407288
111,Georgia,2008,10897315,15029398,15518402,7039576,12454541,2215896,3775576,24699653,44193770,19494117,19275353400.0,44888240803.0,45104845039.0,12454540691.0,-216604236,9504843,55833769596.0,21927833891.0,"12,660,316,611",374106627648.0,1.55,2.13,2.2,1.0,-22.79,0.14,0.28,1310.34,0.05,0.12,0.12,0.15,0.06,23,29,29,20,21,24,0.672,6387254.496,58570.80344650165
112,Hawaii,2008,3977843,4741715,5473967,2112899,6589516,1265247,1828247,9164341,17866756,8702415,5411612040.0,8886537347.0,9736511706.0,6589516165.0,-849974,1332213,18479370522.0,9798095875.0,"6,300,975,474",62486103679.0,1.88,2.24,2.59,0.91,-0.64,0.17,0.37,4946.29,0.09,0.14,0.16,0.3,0.16,18,35,46,41,47,40,0.672,895247.136,69797.60243432937
113,Idaho,2008,3790508,4572334,5818019,1623586,999382,1401224,3082308,10022330,12645299,2622969,3733080268.0,7833088071.0,7492840580.0,999382386.0,340247492,1534320,8857903202.0,176133779.0,"1,008,465,998",56499723523.0,2.33,2.82,3.58,1.05,221.76,0.35,0.08,651.35,0.07,0.14,0.13,0.16,0.0,12,7,10,31,7,9,0.672,1031063.04,54797.54518501604
114,Illinois,2008,9769440,16653719,17516727,13272437,49850584,-43578421,6144659,-22169660,40953361,63123021,33773690078.0,60896321070.0,64857302118.0,49850584169.0,-3973244147,12747038,189000000000.0,42830423634.0,"26,322,156,076",616155323300.0,0.74,1.25,1.32,0.94,-311.7,-0.91,1.22,3910.76,0.05,0.1,0.11,0.31,0.07,46,50,47,10,46,48,0.672,8566009.536,71930.26352708464
115,Indiana,2008,8634654,11073584,13906117,3874312,1730314,9919739,1097886,21445009,27049635,5604627,13056856187.0,30098327759.0,29256298774.0,1730314381.0,842028986,6424806,32499209318.0,515769231.0,"1,473,347,826",251683296544.0,2.23,2.86,3.59,1.03,131.06,0.41,0.06,269.32,0.05,0.12,0.12,0.13,0.0,13,3,13,18,1,4,0.672,4317469.632,58294.16718500731
116,Iowa,2008,5139152,7596518,7905809,2525755,2978750,1743701,2884575,13770760,19275265,5504505,7461984392.0,17447268673.0,17020401338.0,2978750279.0,496544036,3016734,20900444967.0,450724638.0,"2,540,797,101",130446172798.0,2.03,3.01,3.13,1.03,164.6,0.24,0.15,987.41,0.06,0.13,0.13,0.16,0.0,15,13,14,26,8,17,0.672,2027245.2480000001,64346.517978864686
117,Kansas,2008,2426052,4233965,4275823,2601431,3258010,116893,1287153,12330030,18189472,5859441,7951880713.0,13301245262.0,13281948718.0,3258010033.0,137235229,2808076,20779048107.0,352998885.0,"4,673,227,425",128911723523.0,0.93,1.63,1.64,1.0,48.87,0.08,0.18,1160.23,0.06,0.1,0.1,0.16,0.0,38,26,26,14,6,20,0.672,1887027.0720000002,68314.718657624
118,Kentucky,2008,4094051,7148793,8150866,4226932,9133513,-5986775,1616436,18151742,31512187,13360445,10919628763.0,22781954292.0,24250976589.0,9133512821.0,-1469022297,4289878,45649531129.0,16979723890.0,"5,757,647,715",157660882943.0,0.97,1.69,1.93,0.94,-342.44,-0.14,0.29,2129.08,0.07,0.14,0.15,0.29,0.11,34,42,48,38,45,47,0.672,2882798.0160000003,54690.22875274519
119,Louisiana,2008,15558305,18854954,21851142,5501925,9821406,1809978,7566498,23646416,38969747,15323331,10724517280.0,32995690078.0,31628183946.0,9821405797.0,1367506132,4435586,49028594527.0,15286176143.0,"10,950,089,186",186899090301.0,2.83,3.43,3.97,1.04,308.3,0.24,0.25,2214.23,0.06,0.18,0.17,0.26,0.08,7,24,7,40,42,25,0.672,2980713.7920000004,62702.79649210949
120,Maine,2008,657674,1411193,2753314,1844759,1015991,-209844,774382,4720590,7581340,2860750,3916128205.0,8068983278.0,7992612040.0,1015991081.0,-35111483,1330509,12805947161.0,2461322185.0,"931,006,689",54878911929.0,0.36,0.76,1.49,1.01,-26.39,0.07,0.13,763.61,0.07,0.15,0.15,0.23,0.04,49,15,25,37,36,42,0.672,894102.0480000001,61378.80128085781
121,Maryland,2008,4918323,8468929,9507312,4696536,16170681,-1141203,2798013,19440954,40308172,20867217,17837235229.0,31197324415.0,32444816054.0,16170681159.0,-1247491639,5684965,47340870361.0,16425217391.0,"14,446,880,713",313260613155.0,1.05,1.8,2.02,0.96,-219.44,0.04,0.4,2844.46,0.06,0.1,0.1,0.15,0.05,32,39,43,11,23,30,0.672,3820296.4800000004,81999.03195864001
122,Massachusetts,2008,7684865,12799647,12955407,8735532,40921789,-11084981,3756612,-5089051,44568270,49657321,23605830546.0,49915273133.0,49137123746.0,40921789298.0,779060201,6468967,69663911012.0,12619843924.0,"23,313,659,978",377055319955.0,0.88,1.47,1.48,1.02,120.43,-0.16,0.92,6325.86,0.06,0.13,0.13,0.18,0.03,43,46,20,28,30,37,0.672,4347145.824,86736.29439190398
123,Michigan,2008,2257889,8055750,10690906,5802145,12101148,-3244390,2979300,17471949,35375242,17903293,28980602007.0,52712151616.0,53329431438.0,12101148272.0,-552731327,9946889,75425723335.0,45272027871.0,"9,515,050,167",395257293200.0,0.39,1.39,1.84,0.99,-55.57,-0.01,0.34,1216.58,0.07,0.13,0.13,0.19,0.11,45,37,32,34,34,39,0.672,6684309.408000001,59132.10611210533
124,Minnesota,2008,8646076,12285591,12562298,5632046,6615705,539310,4274054,14717572,26965322,12247750,20022442586.0,32658561873.0,32398488294.0,6615704571.0,260073579,5247018,57107464873.0,841472687.0,"5,612,978,818",251414222965.0,1.54,2.18,2.23,1.01,49.57,0.18,0.25,1260.85,0.08,0.13,0.13,0.23,0.0,22,22,23,33,12,27,0.672,3525996.0960000004,71303.03497789238
