,state,year,c_ce_i,c_ce_i_r,total_current_assets,current_liabilities,noncurrent_liabilities,unrestricted_net_assets,restricted_net_assets,total_net_assets,total_assets,total_liabilities,total_taxes,total_revenue,total_expenses,noncurrent_liability,change_in_net_assets,population,uaal_pension_(risk-free),uaal_opeb,primary_gov_debt,personal_income,1.cash_ratio,2.quick_ratio,3.current_ratio,4.op_ratio,5._surplus_percap,6.net_asst_ratio,7.long_term_liab,8.lt_percapita,9.tax_income_ratio,10.rev_income_ratio,11.exp_income_ratio,12._pension_income_ratio,13._opeb_income_ratio,cashrank,lrrank,budgetrank,servicelvlrank,trustrank,overallrank,%_working_pop_age_(15-64),est_working_pop,person_income_per_capita
528,Maine,2016,718202,1429158,2221377,1098621,3744071,-1951027,531314,2054410,6717228,4842692,3766871000.0,7970486000.0,7646004000.0,3744071000.0,335817000,1331479,20798670310.0,1851822000.0,"1,168,260,000",59005346000.0,0.65,1.3,2.02,1.04,252.21,-0.21,0.56,2811.96,0.06,0.14,0.13,0.35,0.03,43,35,16,33,22,34,0.659,877444.6610000001,67246.80042243713
529,Maryland,2016,4315391,9192862,10110724,5761690,43233757,-23213860,2200770,-2423696,43628103,48995447,19398009000.0,39060085000.0,38172935000.0,43233757000.0,783716000,6016447,117000000000.0,11789450000.0,"18,319,396,000",348569720000.0,0.75,1.6,1.75,1.02,130.26,-0.48,0.99,7185.93,0.06,0.11,0.11,0.34,0.03,41,44,27,17,17,33,0.659,3964838.5730000003,87915.2362907563
530,Massachusetts,2016,4719686,10811045,11322868,9778996,78454773,-58432842,3284502,-52903780,28576409,88233769,25676303000.0,58168767000.0,61511391000.0,78454773000.0,-3342624000,6811779,145000000000.0,16322500000.0,"29,569,062,000",443700515000.0,0.48,1.11,1.16,0.95,-490.71,-1.93,2.75,11517.52,0.06,0.13,0.14,0.33,0.04,48,48,45,35,16,47,0.659,4488962.3610000005,98842.55632322954
531,Michigan,2016,7102223,11798241,15554133,6837973,18693290,-11317949,7299236,17144696,41752305,25531263,27746700000.0,57760000000.0,56182979000.0,18693290000.0,1593095000,9928300,184000000000.0,17992900000.0,"7,314,900,000",440291844000.0,1.04,1.73,2.27,1.03,160.46,-0.1,0.45,1882.83,0.06,0.13,0.13,0.42,0.04,35,26,25,31,30,32,0.659,6542749.7,67294.61834677857
532,Minnesota,2016,14256196,18397345,18497554,6152163,13569198,-5027144,7754326,16665277,37690838,19721361,23845667000.0,39855716000.0,38129432000.0,13569198000.0,1726284000,5519952,126000000000.0,666638000.0,"9,155,250,000",287681695000.0,2.32,2.99,3.01,1.05,312.74,0.07,0.36,2458.21,0.08,0.14,0.13,0.44,0.0,17,22,12,36,32,24,0.659,3637648.3680000002,79084.52546725099
533,Mississippi,2016,4770719,5717170,6208259,2234374,9073186,-5400624,4431757,13952286,24751091,11307560,6886235000.0,17799680000.0,16833448000.0,9073186000.0,966232000,2988726,76627645844.0,709077000.0,"5,697,307,000",107402992000.0,2.14,2.56,2.78,1.06,323.29,-0.04,0.37,3035.8,0.06,0.17,0.16,0.71,0.01,19,29,8,44,47,36,0.659,1969570.4340000001,54531.17600972273
534,Missouri,2016,4779338,8940620,9025160,2426889,11023289,-4784707,4352780,28906012,41679023,13450178,11419523000.0,26314870000.0,25660638000.0,11023289000.0,656732000,6093000,114000000000.0,3182984000.0,"3,546,970,000",266406080000.0,1.97,3.68,3.72,1.03,107.78,-0.01,0.26,1809.17,0.04,0.1,0.1,0.43,0.01,14,15,26,8,33,15,0.659,4015287.0,66347.95470410956
535,Montana,2016,4306642,5222392,5697726,1083359,2342529,-772132,3238487,8099004,11467710,3425888,2345511000.0,6078227000.0,5805386000.0,2342529000.0,272841000,1042520,23227497409.0,458429000.0,"220,753,000",44188348000.0,3.98,4.82,5.26,1.05,261.71,0.22,0.2,2246.99,0.05,0.14,0.13,0.53,0.01,5,13,14,34,40,16,0.659,687020.68,64318.803329180715
536,Nebraska,2016,4539008,5940605,6083148,1539630,538447,1056276,3044857,12865535,14893243,2078077,4960943000.0,8755000000.0,8808000000.0,538447000.0,-27747,1907116,20895152588.0,0.0,"34,780,000",94661640000.0,2.95,3.86,3.95,0.99,-0.01,0.28,0.04,282.34,0.05,0.09,0.09,0.22,0.0,12,1,37,7,4,1,0.659,1256789.4440000001,75320.20614266075
537,Nevada,2016,3436844,6236729,6323241,2349230,4988809,-1879271,2258085,5971151,13383903,7338039,5134753000.0,11281233000.0,9758203000.0,4988809000.0,1530510000,2940058,83921190361.0,1445333000.0,"3,186,600,000",128294465000.0,1.46,2.65,2.69,1.16,520.57,0.03,0.37,1696.84,0.04,0.09,0.08,0.65,0.01,24,16,1,1,45,10,0.659,1937498.222,66216.55882995695
